Mã Bệnh,Tên Bệnh,Chuyên Khoa,Mô Tả,Nguyên Nhân,Triệu Chứng Phổ Biến,Phương Pháp Chẩn Đóan,Hướng Điều Trị
B001,Tăng huyết áp,Tim mạch,"Tăng huyết áp là tình trạng áp lực máu lên thành động mạch cao hơn mức bình thường, gây áp lực cho tim.","Di truyền, lối sống không lành mạnh, tuổi tác, béo phì.","Đau đầu, chóng mặt, khó thở, chảy máu cam, mệt mỏi.","Đo huyết áp, xét nghiệm máu, siêu âm tim.","Thay đổi lối sống, dùng thuốc hạ áp."
B002,Đái tháo đường tuýp 2,Nội tiết,"Là bệnh rối loạn chuyển hóa cacbohydrat khi insulin của tụy bị giảm tác dụng, kháng insulin.","Di truyền, béo phì, ít vận động, chế độ ăn uống không hợp lý.","Khát nước nhiều, đi tiểu nhiều, sụt cân không rõ nguyên nhân, mờ mắt.","Xét nghiệm đường huyết lúc đói, HbA1c.","Dùng thuốc, thay đổi chế độ ăn, tập thể dục."
B003,Viêm dạ dày,Tiêu hóa,"Là tình trạng niêm mạc dạ dày bị viêm, tổn thương.","Nhiễm khuẩn HP, sử dụng thuốc chống viêm không steroid (NSAID), stress.","Đau thượng vị, ợ hơi, ợ chua, buồn nôn, ăn không tiêu.","Nội soi dạ dày, xét nghiệm HP.","Thuốc kháng acid, thuốc ức chế bơm proton, kháng sinh (nếu có HP)."
B004,Hen phế quản,Hô hấp,"Là bệnh viêm mạn tính đường thở, gây co thắt phế quản và khó thở.","Di truyền, dị ứng (phấn hoa, bụi nhà), ô nhiễm không khí.","Khò khè, khó thở, nặng ngực, ho (đặc biệt về đêm và sáng sớm).","Đo chức năng hô hấp, test dị ứng.","Thuốc giãn phế quản, thuốc corticoid dạng hít."
B005,Viêm da cơ địa (Chàm),Da liễu,"Là bệnh da mạn tính, tái phát, đặc trưng bởi các mảng da khô, ngứa và viêm.","Di truyền, hệ miễn dịch phản ứng quá mức, hàng rào bảo vệ da yếu.","Da khô, ngứa dữ dội, mẩn đỏ, có thể có mụn nước.","Khám da liễu, tiền sử bệnh.","Dưỡng ẩm, thuốc bôi corticoid, thuốc kháng histamin."
B006,Trào ngược dạ dày thực quản (GERD),Tiêu hóa,"Là tình trạng acid từ dạ dày trào ngược lên thực quản, gây kích ứng.","Cơ thắt thực quản dưới yếu, thoát vị hoành, béo phì.","Ợ nóng, ợ chua, đau ngực, khó nuốt, ho khan.","Nội soi, đo pH thực quản 24 giờ.","Thuốc kháng acid, thay đổi lối sống, phẫu thuật (hiếm)."
B007,Thoái hóa khớp gối,Cơ xương khớp,"Là tình trạng sụn khớp gối bị mòn, gây đau và cứng khớp.","Tuổi tác, thừa cân, chấn thương cũ, di truyền.","Đau khớp gối khi vận động, cứng khớp buổi sáng, nghe tiếng lạo xạo trong khớp.","Chụp X-quang, MRI.","Giảm đau, vật lý trị liệu, tiêm nội khớp, thay khớp gối."
B008,Viêm xoang mạn tính,Tai mũi họng,"Là tình trạng viêm và sưng các hốc xoang kéo dài trên 12 tuần.","Nhiễm trùng, polyp mũi, lệch vách ngăn mũi, dị ứng.","Nghẹt mũi, chảy nước mũi đặc, đau nhức vùng mặt, giảm khứu giác.","Nội soi mũi xoang, CT scan.","Thuốc xịt mũi, kháng sinh, phẫu thuật nội soi xoang."
B009,Rối loạn lo âu lan tỏa,Tâm thần,"Là tình trạng lo lắng và căng thẳng quá mức, kéo dài về nhiều vấn đề trong cuộc sống.","Yếu tố sinh học (chất dẫn truyền thần kinh), di truyền, trải nghiệm sống.","Lo lắng không kiểm soát, bồn chồn, mệt mỏi, khó tập trung, mất ngủ.","Đánh giá tâm lý, loại trừ các bệnh lý khác.","Tâm lý trị liệu, thuốc chống trầm cảm."
B010,Thiếu máu thiếu sắt,Huyết học,"Là tình trạng cơ thể không có đủ sắt để tạo hemoglobin, dẫn đến thiếu hồng cầu.","Chế độ ăn thiếu sắt, mất máu (kinh nguyệt nhiều, loét dạ dày), mang thai.","Mệt mỏi, da xanh xao, khó thở khi gắng sức, chóng mặt, rụng tóc.","Xét nghiệm công thức máu, nồng độ sắt huyết thanh.","Bổ sung sắt (dạng uống hoặc tiêm)."
B011,Cúm mùa,Truyền nhiễm,"Là bệnh nhiễm trùng đường hô hấp cấp tính do virus cúm gây ra.","Lây truyền qua giọt bắn khi người bệnh ho, hắt hơi.","Sốt cao, đau đầu, đau mỏi cơ, ho, đau họng, sổ mũi.","Chẩn đoán lâm sàng, xét nghiệm nhanh.","Nghỉ ngơi, uống nhiều nước, thuốc hạ sốt, thuốc kháng virus (nếu cần)."
B012,Sỏi thận,Tiết niệu,"Là các tinh thể khoáng chất cứng hình thành bên trong thận.","Uống ít nước, chế độ ăn nhiều muối hoặc protein, di truyền.","Đau dữ dội ở hông lưng, tiểu ra máu, buồn nôn, sốt.","Siêu âm, CT scan, xét nghiệm nước tiểu.","Uống nhiều nước, thuốc, tán sỏi, phẫu thuật."
B013,Lupus ban đỏ hệ thống,Miễn dịch - Dị ứng,"Là bệnh tự miễn mạn tính, hệ miễn dịch tấn công các mô và cơ quan của cơ thể.","Không rõ, có thể do di truyền và yếu tố môi trường.","Mệt mỏi, phát ban hình cánh bướm ở mặt, đau khớp, sốt.","Xét nghiệm máu (kháng thể ANA), khám lâm sàng.","Thuốc chống viêm, thuốc ức chế miễn dịch."
B014,Viêm gan B mạn tính,Tiêu hóa - Gan mật,"Là tình trạng nhiễm virus viêm gan B (HBV) kéo dài trên 6 tháng.","Lây qua đường máu, quan hệ tình dục, từ mẹ sang con.","Thường không có triệu chứng, có thể mệt mỏi, vàng da (giai đoạn nặng).","Xét nghiệm máu (HBsAg, HBV DNA).","Thuốc kháng virus, theo dõi định kỳ."
B015,Đột quỵ não,Thần kinh,"Là tình trạng tổn thương não xảy ra khi nguồn cung cấp máu cho não bị gián đoạn.","Tắc mạch máu não (nhồi máu) hoặc vỡ mạch máu não (xuất huyết).","Yếu liệt mặt hoặc tay chân một bên, nói khó, méo miệng, mất thăng bằng.","CT scan, MRI não.","Thuốc tiêu sợi huyết (nếu nhồi máu), can thiệp nội mạch, phẫu thuật."
B016,Parkinson,Thần kinh,"Là bệnh thoái hóa thần kinh tiến triển, ảnh hưởng đến khả năng vận động.","Sự thiếu hụt chất dẫn truyền thần kinh dopamine trong não.","Run khi nghỉ, cứng cơ, vận động chậm chạp, mất ổn định tư thế.","Chẩn đoán lâm sàng, không có xét nghiệm đặc hiệu.","Thuốc bổ sung dopamine, vật lý trị liệu."
B017,Gout (Gút),Cơ xương khớp,"Là một dạng viêm khớp do sự lắng đọng các tinh thể urat trong khớp.","Tăng acid uric trong máu do di truyền hoặc lối sống.","Sưng, nóng, đỏ, đau dữ dội đột ngột ở một khớp (thường là ngón chân cái).","Xét nghiệm acid uric máu, chọc hút dịch khớp.","Thuốc chống viêm, thuốc hạ acid uric."
B018,Loãng xương,Nội tiết - Cơ xương khớp,"Là tình trạng xương trở nên yếu và giòn, dễ gãy.","Thiếu hụt canxi và vitamin D, tuổi tác (đặc biệt là phụ nữ sau mãn kinh).","Thường không có triệu chứng cho đến khi bị gãy xương.","Đo mật độ xương (DEXA).","Bổ sung canxi và vitamin D, thuốc chống hủy xương."
B019,Viêm phổi,Hô hấp,"Là tình trạng nhiễm trùng ở nhu mô phổi, gây viêm các túi khí (phế nang).","Vi khuẩn, virus, nấm.","Sốt, ho có đờm, khó thở, đau ngực.","Nghe phổi, chụp X-quang ngực.","Kháng sinh (nếu do vi khuẩn), thuốc kháng virus, điều trị hỗ trợ."
B020,Trầm cảm,Tâm thần,"Là một rối loạn khí sắc gây ra cảm giác buồn bã và mất hứng thú kéo dài.","Yếu tố sinh học, tâm lý và xã hội.","Khí sắc trầm, mất hứng thú, thay đổi cân nặng, rối loạn giấc ngủ, cảm giác vô dụng.","Đánh giá tâm lý.","Tâm lý trị liệu, thuốc chống trầm cảm."
B021,Suy tim,Tim mạch,"Là tình trạng tim không thể bơm đủ máu để đáp ứng nhu cầu của cơ thể.","Bệnh mạch vành, tăng huyết áp, bệnh van tim.","Khó thở, mệt mỏi, phù chân, ho khan.","Siêu âm tim, X-quang, điện tâm đồ.","Thuốc lợi tiểu, thuốc ức chế men chuyển, thay đổi lối sống."
B022,Nấm da,Da liễu,"Là bệnh nhiễm trùng da do vi nấm gây ra.","Môi trường nóng ẩm, vệ sinh cá nhân kém, lây nhiễm.","Mảng da đỏ, có vảy, ngứa, hình tròn hoặc bầu dục.","Soi tươi tìm nấm.","Thuốc kháng nấm dạng bôi hoặc uống."
B023,Thủy đậu,Truyền nhiễm,"Là bệnh truyền nhiễm cấp tính do virus Varicella Zoster gây ra.","Lây qua đường hô hấp hoặc tiếp xúc trực tiếp với dịch mụn nước.","Sốt, mệt mỏi, xuất hiện các nốt mụn nước ngứa khắp cơ thể.","Chẩn đoán lâm sàng.","Nghỉ ngơi, vệ sinh da, thuốc kháng histamin, acyclovir (nếu cần)."
B024,Sốt xuất huyết Dengue,Truyền nhiễm,"Là bệnh truyền nhiễm do virus Dengue, lây truyền qua muỗi Aedes aegypti.","Muỗi vằn đốt người bệnh rồi truyền virus cho người lành.","Sốt cao đột ngột, đau đầu, đau mỏi cơ khớp, phát ban, chấm xuất huyết.","Xét nghiệm máu (NS1, IgM, IgG, công thức máu).","Hạ sốt, bù dịch, theo dõi các dấu hiệu cảnh báo."
B025,Viêm kết mạc (Đau mắt đỏ),Nhãn khoa,"Là tình trạng viêm lớp màng trong suốt trên bề mặt nhãn cầu.","Virus, vi khuẩn, dị ứng.","Mắt đỏ, cộm, ngứa, chảy nước mắt, có ghèn.","Khám mắt.","Thuốc nhỏ mắt kháng sinh hoặc kháng viêm, vệ sinh mắt."
B026,Alzheimer,Thần kinh,"Là bệnh thoái hóa thần kinh gây mất trí nhớ và suy giảm nhận thức tiến triển.","Sự tích tụ các mảng amyloid và đám rối tau trong não.","Suy giảm trí nhớ ngắn hạn, khó khăn trong việc lập kế hoạch, thay đổi tính cách.","Đánh giá nhận thức, MRI não.","Thuốc làm chậm tiến triển, chăm sóc hỗ trợ."
B027,Viêm ruột thừa,Ngoại khoa - Tiêu hóa,"Là tình trạng viêm của ruột thừa, một túi nhỏ gắn vào ruột già.","Tắc nghẽn lòng ruột thừa.","Đau bụng ban đầu ở vùng thượng vị hoặc quanh rốn, sau đó khu trú ở hố chậu phải.","Siêu âm bụng, CT scan, xét nghiệm máu.","Phẫu thuật cắt ruột thừa."
B028,Polyp đại tràng,Tiêu hóa,"Là những khối u nhỏ phát triển trên lớp niêm mạc của đại tràng.","Không rõ, có thể do di truyền và lối sống.","Thường không có triệu chứng, có thể gây chảy máu, thay đổi thói quen đi tiêu.","Nội soi đại tràng.","Cắt polyp qua nội soi."
B029,Bệnh phổi tắc nghẽn mạn tính (COPD),Hô hấp,"Là bệnh viêm đường thở mạn tính gây tắc nghẽn luồng không khí từ phổi.","Hút thuốc lá là nguyên nhân chính.","Ho mạn tính, khạc đờm, khó thở tăng dần.","Đo chức năng hô hấp.","Bỏ thuốc lá, thuốc giãn phế quản, phục hồi chức năng hô hấp."
B030,Ung thư vú,Ung bướu,"Là sự phát triển ác tính của các tế bào trong mô vú.","Di truyền (gen BRCA), nội tiết tố, lối sống.","Khối u ở vú hoặc nách, thay đổi hình dạng vú, tụt núm vú.","Chụp nhũ ảnh, siêu âm, sinh thiết.","Phẫu thuật, hóa trị, xạ trị, liệu pháp nội tiết."
B031,Ung thư phổi,Ung bướu,"Là sự phát triển không kiểm soát của các tế bào ác tính trong phổi.","Hút thuốc lá, tiếp xúc với amiăng, ô nhiễm không khí.","Ho kéo dài, ho ra máu, đau ngực, sụt cân.","X-quang, CT ngực, sinh thiết.","Phẫu thuật, hóa trị, xạ trị, liệu pháp nhắm trúng đích."
B032,Ung thư đại trực tràng,Ung bướu,"Là ung thư bắt đầu ở đại tràng hoặc trực tràng.","Lối sống, di truyền, tiền sử polyp.","Thay đổi thói quen đi tiêu, máu trong phân, đau bụng.","Nội soi đại tràng, sinh thiết.","Phẫu thuật, hóa trị, xạ trị."
B033,Hội chứng ruột kích thích (IBS),Tiêu hóa,"Là một rối loạn chức năng đường ruột phổ biến, không gây tổn thương thực thể.","Không rõ, liên quan đến sự tương tác giữa não và ruột.","Đau bụng, đầy hơi, tiêu chảy hoặc táo bón xen kẽ.","Chẩn đoán loại trừ.","Thay đổi chế độ ăn, thuốc điều trị triệu chứng, quản lý stress."
B034,Viêm khớp dạng thấp,Miễn dịch - Cơ xương khớp,"Là bệnh tự miễn gây viêm đối xứng các khớp, có thể phá hủy khớp.","Không rõ.","Đau, sưng, cứng nhiều khớp nhỏ (bàn tay, cổ tay), đặc biệt vào buổi sáng.","Xét nghiệm máu (RF, anti-CCP), X-quang.","Thuốc chống thấp khớp (DMARDs), thuốc sinh học."
B035,Xơ gan,Tiêu hóa - Gan mật,"Là giai đoạn cuối của các bệnh gan mạn tính, mô sẹo thay thế mô gan khỏe mạnh.","Viêm gan virus, nghiện rượu, gan nhiễm mỡ.","Mệt mỏi, vàng da, cổ trướng, dễ bầm tím.","Siêu âm, xét nghiệm chức năng gan, sinh thiết gan.","Điều trị nguyên nhân, quản lý biến chứng, ghép gan."
B036,Zona (Giời leo),Da liễu - Truyền nhiễm,"Là bệnh do sự tái hoạt động của virus thủy đậu (Varicella Zoster).","Virus tiềm ẩn trong hạch thần kinh từ lần nhiễm thủy đậu trước đó.","Đau rát, sau đó nổi mụn nước thành dải ở một bên cơ thể.","Chẩn đoán lâm sàng.","Thuốc kháng virus, thuốc giảm đau."
B037,Bệnh bạch cầu cấp,Huyết học - Ung bướu,"Là ung thư của các tế bào máu và tủy xương, đặc trưng bởi sự tăng sinh nhanh của các tế bào máu trắng bất thường.","Đột biến gen.","Sốt, mệt mỏi, dễ nhiễm trùng, chảy máu, bầm tím.","Xét nghiệm máu, tủy đồ.","Hóa trị, ghép tế bào gốc."
B038,Suy thận mạn,Thận - Tiết niệu,"Là tình trạng mất chức năng thận dần dần và không hồi phục.","Đái tháo đường, tăng huyết áp.","Giai đoạn đầu thường không có triệu chứng; giai đoạn cuối gây phù, mệt mỏi, buồn nôn.","Xét nghiệm máu (creatinin), xét nghiệm nước tiểu.","Kiểm soát bệnh nền, chạy thận, ghép thận."
B039,Viêm tụy cấp,Tiêu hóa,"Là tình trạng viêm đột ngột của tuyến tụy.","Sỏi mật, nghiện rượu.","Đau bụng trên dữ dội, lan ra sau lưng, nôn, sốt.","Xét nghiệm máu (amylase, lipase), CT bụng.","Nhịn ăn, truyền dịch, giảm đau."
B040,Bệnh lao,Hô hấp - Truyền nhiễm,"Là bệnh truyền nhiễm do vi khuẩn Mycobacterium tuberculosis gây ra, thường ảnh hưởng đến phổi.","Lây qua không khí khi người bệnh ho, hắt hơi.","Ho kéo dài trên 2 tuần, ho ra máu, sốt về chiều, sụt cân.","X-quang phổi, xét nghiệm đờm.","Phác đồ kháng sinh đa thuốc kéo dài."
B041,Sởi,Truyền nhiễm,"Là bệnh truyền nhiễm cấp tính do virus sởi gây ra.","Lây qua đường hô hấp.","Sốt, ho, chảy nước mũi, mắt đỏ, sau đó phát ban từ mặt lan xuống toàn thân.","Chẩn đoán lâm sàng.","Điều trị triệu chứng, bổ sung vitamin A."
B042,Quai bị,Truyền nhiễm,"Là bệnh truyền nhiễm cấp tính do virus quai bị gây ra, đặc trưng bởi sưng tuyến nước bọt mang tai.","Lây qua đường hô hấp.","Sốt, đau đầu, sưng đau một hoặc cả hai bên tuyến mang tai.","Chẩn đoán lâm sàng.","Điều trị triệu chứng, nghỉ ngơi."
B043,Hội chứng Down,Di truyền,"Là một rối loạn di truyền do thừa một nhiễm sắc thể số 21.","Sự bất thường trong quá trình phân chia tế bào.","Đặc điểm khuôn mặt đặc trưng, chậm phát triển trí tuệ và thể chất.","Chẩn đoán trước sinh, xét nghiệm nhiễm sắc thể đồ.","Can thiệp sớm, giáo dục đặc biệt."
B044,Viêm tai giữa,Tai mũi họng,"Là tình trạng viêm vùng tai giữa, thường do nhiễm trùng.","Thường là biến chứng của cảm lạnh hoặc viêm đường hô hấp trên.","Đau tai, sốt, có thể chảy mủ tai, nghe kém.","Nội soi tai.","Kháng sinh, thuốc giảm đau, có thể cần trích rạch màng nhĩ."
B045,Tâm thần phân liệt,Tâm thần,"Là một rối loạn tâm thần nghiêm trọng ảnh hưởng đến cách một người suy nghĩ, cảm nhận và hành xử.","Kết hợp các yếu tố di truyền, sinh học và môi trường.","Ảo giác, hoang tưởng, rối loạn tư duy, hành vi vô tổ chức, cảm xúc cùn mòn.","Đánh giá tâm thần.","Thuốc chống loạn thần, tâm lý trị liệu."
B046,Động kinh,Thần kinh,"Là một rối loạn thần kinh đặc trưng bởi các cơn co giật tái phát do hoạt động điện bất thường trong não.","Tổn thương não, di truyền, không rõ nguyên nhân.","Các cơn co giật với biểu hiện đa dạng (co cứng, co giật, mất ý thức, vắng ý thức...).","Điện não đồ (EEG), MRI não.","Thuốc chống động kinh."
B047,Loét dạ dày tá tràng,Tiêu hóa,"Là vết loét hở hình thành trên niêm mạc dạ dày hoặc phần đầu của ruột non (tá tràng).","Nhiễm khuẩn HP, sử dụng NSAID.","Đau bụng thượng vị, đau tăng khi đói hoặc sau ăn tùy vị trí loét.","Nội soi dạ dày.","Thuốc ức chế bơm proton, kháng sinh (nếu có HP)."
B048,Viêm cầu thận,Thận - Tiết niệu,"Là tình trạng viêm các tiểu cầu thận, đơn vị lọc máu của thận.","Nhiễm trùng, bệnh tự miễn.","Tiểu ra máu (nước tiểu màu coca), phù, tăng huyết áp.","Xét nghiệm nước tiểu, sinh thiết thận.","Điều trị nguyên nhân, thuốc ức chế miễn dịch."
B049,Huyết khối tĩnh mạch sâu (DVT),Tim mạch,"Là tình trạng hình thành cục máu đông trong một tĩnh mạch nằm sâu bên trong cơ thể, thường là ở chân.","Bất động lâu, phẫu thuật, ung thư.","Sưng, đau, đỏ ở một chân.","Siêu âm Doppler tĩnh mạch.","Thuốc chống đông."
